"Table 1a. Coefficient of Variation of the Average Annual Family Income, by  Per Capita Income Decile Class and by Region, Province and HUC: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
Isabela,4.0,2.7,3.6,3.5,3.5,4.9,3.8,4.1,4.1,4.2,6.6,6.8,13.4,9.5,10.4,9.2,9.2,10.1,10.9,11.0,9.3,18.3,2.7,3.2,3.5,3.2,3.1,3.0,3.6,3.4,3.5,3.6,5.0
Nueva Vizcaya,4.4,3.3,3.7,3.8,3.6,4.0,4.2,3.9,4.3,4.5,7.2,5.8,14.5,10.9,11.5,9.1,8.9,9.6,10.6,10.2,9.8,17.5,4.3,2.9,3.1,3.4,3.1,3.7,3.9,3.9,4.0,5.8,9.6
Quirino,5.9,2.2,2.7,3.1,3.3,3.8,3.6,3.5,3.9,5.3,10.7,6.5,12.4,10.9,9.8,8.8,9.6,10.1,9.2,11.4,11.1,15.8,4.4,2.8,2.8,3.5,3.3,3.6,3.7,4.2,4.2,4.9,5.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III - CENTRAL LUZON,1.5,1.6,1.4,1.6,1.6,1.5,1.7,1.7,1.8,1.9,3.5,2.5,5.7,4.8,4.6,4.4,4.4,4.3,4.2,4.6,5.5,6.2,1.3,1.4,1.4,1.3,1.3,1.4,1.6,1.5,1.6,1.9,2.7
Aurora,5.4,3.1,3.8,3.3,3.2,3.6,4.3,4.0,3.9,3.7,7.7,6.7,14.8,12.0,9.5,8.7,11.6,10.0,10.5,11.0,13.2,14.9,4.9,2.7,2.7,2.5,3.4,3.7,5.6,4.0,5.1,4.9,7.7
Bataan,3.9,4.1,3.5,4.4,3.4,4.7,3.7,3.8,3.6,4.0,9.7,6.1,12.6,9.2,10.3,10.9,9.8,13.3,9.6,10.6,11.2,16.5,3.1,3.4,2.1,3.0,3.3,3.4,4.3,4.2,4.7,4.5,5.8
Bulacan,3.2,3.6,3.5,4.2,3.7,3.9,3.3,4.2,3.8,4.8,4.7,6.1,19.9,10.2,12.8,9.4,10.0,8.6,10.0,9.8,11.5,14.0,3.1,3.0,3.0,3.2,2.5,2.9,4.0,3.5,4.0,4.6,6.8
Nueva Ecija,4.7,3.4,3.5,4.2,3.7,4.0,3.3,4.3,3.9,4.1,12.6,5.1,12.6,11.3,9.6,8.5,7.7,10.1,11.2,11.6,11.2,13.0,3.0,3.0,2.8,3.3,3.5,2.9,3.3,3.9,3.6,4.9,5.3
Pampanga (Excluding City of Angeles),2.6,5.4,3.2,3.2,3.7,2.7,3.8,4.0,4.3,4.3,6.2,5.8,11.2,9.2,9.1,9.0,8.7,10.1,11.3,11.3,13.7,14.5,2.5,2.3,3.0,3.4,2.9,2.8,3.2,2.6,3.4,3.7,7.1
City of Angeles,3.5,3.4,3.5,3.1,3.5,4.4,3.7,3.8,4.4,5.3,9.8,7.0,11.0,10.6,10.2,9.9,9.1,10.4,11.7,11.7,17.2,20.3,2.3,2.7,3.3,2.9,3.1,3.3,4.2,4.0,3.8,5.3,8.7
Tarlac,3.4,3.4,3.2,3.8,3.8,4.0,4.0,4.4,4.6,3.6,6.9,4.7,10.1,9.1,9.4,9.4,9.5,9.0,9.6,10.9,9.2,11.0,4.0,5.3,3.8,3.0,3.1,3.8,4.0,4.1,4.8,3.9,7.5
Zambales (Excluding City of Olongapo),4.0,4.8,4.3,3.8,3.9,3.0,3.8,4.0,3.4,4.3,3.9,5.1,12.1,9.7,9.4,10.7,9.6,11.0,9.5,11.0,11.2,11.9,2.8,3.3,3.2,3.1,3.5,3.1,3.0,4.0,4.1,4.0,7.5
City of Olongapo,3.1,3.4,3.3,3.8,4.7,4.4,4.6,3.9,4.8,4.3,8.0,5.6,11.8,11.1,10.9,12.0,8.9,9.6,9.4,10.6,11.9,15.3,4.2,3.6,2.7,3.9,2.9,3.3,4.3,4.3,5.2,4.3,8.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IVA - CALABARZON,2.3,2.0,1.8,1.6,1.9,2.1,1.9,1.8,2.0,2.1,4.9,3.0,5.8,5.1,5.3,4.8,5.3,5.1,5.6,4.9,5.8,7.9,2.1,1.6,1.7,1.6,1.6,1.6,1.9,1.9,2.5,2.6,4.2
